# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_spd_avg.dat
#       q_nm^-1             I 
  2.124766e+01    1.005496e+01
  2.129012e+01    1.004128e+01
  2.133257e+01    9.967446e+00
  2.137502e+01    9.960995e+00
  2.141747e+01    9.885682e+00
  2.145993e+01    9.832584e+00
  2.150238e+01    9.810671e+00
  2.154483e+01    9.740796e+00
  2.158729e+01    9.725328e+00
  2.162974e+01    9.642978e+00
  2.167219e+01    9.595343e+00
  2.171464e+01    9.562818e+00
  2.175710e+01    9.498628e+00
  2.179955e+01    9.461736e+00
  2.184200e+01    9.382010e+00
  2.188445e+01    9.339532e+00
  2.192691e+01    9.309119e+00
  2.196936e+01    9.232316e+00
  2.201181e+01    9.209465e+00
  2.205426e+01    9.126352e+00
  2.209672e+01    9.088880e+00
  2.213917e+01    9.047420e+00
  2.218162e+01    8.984151e+00
  2.222407e+01    8.952485e+00
  2.226653e+01    8.895868e+00
  2.230898e+01    8.840037e+00
  2.235143e+01    8.812002e+00
  2.239389e+01    8.755386e+00
  2.243634e+01    8.710619e+00
  2.247879e+01    8.677926e+00
  2.252124e+01    8.622214e+00
  2.256370e+01    8.591578e+00
  2.260615e+01    8.526564e+00
  2.264860e+01    8.485302e+00
  2.269105e+01    8.459418e+00
  2.273351e+01    8.397155e+00
  2.277596e+01    8.359280e+00
  2.281841e+01    8.325957e+00
  2.286086e+01    8.269840e+00
  2.290332e+01    8.245410e+00
  2.294577e+01    8.185746e+00
  2.298822e+01    8.149052e+00
  2.303067e+01    8.121515e+00
  2.307313e+01    8.053730e+00
  2.311558e+01    8.026008e+00
  2.315803e+01    7.986708e+00
  2.320048e+01    7.930812e+00
  2.324294e+01    7.918431e+00
  2.328539e+01    7.855712e+00
  2.332784e+01    7.815534e+00
  2.337030e+01    7.802107e+00
  2.341275e+01    7.728088e+00
  2.345520e+01    7.702801e+00
  2.349765e+01    7.677389e+00
  2.354011e+01    7.609717e+00
  2.358256e+01    7.570914e+00
  2.362501e+01    7.569123e+00
  2.366746e+01    7.500395e+00
  2.370992e+01    7.478473e+00
  2.375237e+01    7.448917e+00
  2.379482e+01    7.403683e+00
  2.383727e+01    7.374591e+00
  2.387973e+01    7.340807e+00
  2.392218e+01    7.287329e+00
  2.396463e+01    7.261928e+00
  2.400708e+01    7.209172e+00
  2.404954e+01    7.186319e+00
  2.409199e+01    7.157338e+00
  2.413444e+01    7.109275e+00
  2.417690e+01    7.081272e+00
  2.421935e+01    7.059266e+00
  2.426180e+01    7.019084e+00
  2.430425e+01    6.982780e+00
  2.434671e+01    6.963143e+00
  2.438916e+01    6.927404e+00
  2.443161e+01    6.887427e+00
  2.447406e+01    6.884015e+00
  2.451652e+01    6.841759e+00
  2.455897e+01    6.808000e+00
  2.460142e+01    6.802482e+00
  2.464387e+01    6.762630e+00
  2.468633e+01    6.729795e+00
  2.472878e+01    6.718137e+00
  2.477123e+01    6.689414e+00
  2.481368e+01    6.646382e+00
  2.485614e+01    6.650820e+00
  2.489859e+01    6.605872e+00
  2.494104e+01    6.576902e+00
  2.498350e+01    6.574697e+00
  2.502595e+01    6.539093e+00
  2.506840e+01    6.515250e+00
  2.511085e+01    6.509017e+00
  2.515331e+01    6.460423e+00
  2.519576e+01    6.448784e+00
  2.523821e+01    6.436480e+00
  2.528066e+01    6.403907e+00
  2.532312e+01    6.379458e+00
  2.536557e+01    6.385713e+00
  2.540802e+01    6.382582e+00
  2.545047e+01    6.376308e+00
  2.549293e+01    6.360188e+00
  2.553538e+01    6.351275e+00
  2.557783e+01    6.335859e+00
  2.562028e+01    6.328746e+00
  2.566274e+01    6.315533e+00
  2.570519e+01    6.292284e+00
  2.574764e+01    6.271485e+00
  2.579010e+01    6.286084e+00
  2.583255e+01    6.257005e+00
  2.587500e+01    6.240756e+00
  2.591745e+01    6.238504e+00
  2.595991e+01    6.225501e+00
  2.600236e+01    6.219577e+00
  2.604481e+01    6.212440e+00
  2.608726e+01    6.187056e+00
  2.612972e+01    6.178357e+00
  2.617217e+01    6.162857e+00
  2.621462e+01    6.163168e+00
  2.625707e+01    6.158031e+00
  2.629953e+01    6.142428e+00
  2.634198e+01    6.193097e+00
  2.638443e+01    6.261940e+00
  2.642688e+01    6.301573e+00
  2.646934e+01    6.326896e+00
  2.651179e+01    6.359245e+00
  2.655424e+01    6.375929e+00
  2.659669e+01    6.383320e+00
  2.663915e+01    6.390704e+00
  2.668160e+01    6.424570e+00
  2.672405e+01    6.416793e+00
  2.676651e+01    6.447159e+00
  2.680896e+01    6.461839e+00
  2.685141e+01    6.454918e+00
  2.689386e+01    6.462541e+00
  2.693632e+01    6.476268e+00
  2.697877e+01    6.493181e+00
  2.702122e+01    6.487249e+00
  2.706367e+01    6.486395e+00
  2.710613e+01    6.516317e+00
  2.714858e+01    6.504132e+00
  2.719103e+01    6.514813e+00
  2.723348e+01    6.504320e+00
  2.727594e+01    6.512263e+00
  2.731839e+01    6.514757e+00
  2.736084e+01    6.504467e+00
  2.740329e+01    6.521623e+00
  2.744575e+01    6.524933e+00
  2.748820e+01    6.519658e+00
  2.753065e+01    6.506346e+00
  2.757311e+01    6.524277e+00
  2.761556e+01    6.510506e+00
  2.765801e+01    6.520891e+00
  2.770046e+01    6.511733e+00
  2.774292e+01    6.518161e+00
  2.778537e+01    6.509571e+00
  2.782782e+01    6.526115e+00
  2.787027e+01    6.514737e+00
  2.791273e+01    6.523011e+00
  2.795518e+01    6.522926e+00
  2.799763e+01    6.519200e+00
  2.804008e+01    6.508962e+00
  2.808254e+01    6.513736e+00
  2.812499e+01    6.535111e+00
  2.816744e+01    6.508213e+00
  2.820989e+01    6.513206e+00
  2.825235e+01    6.517233e+00
  2.829480e+01    6.522770e+00
  2.833725e+01    6.517856e+00
  2.837971e+01    6.534178e+00
  2.842216e+01    6.521170e+00
  2.846461e+01    6.525577e+00
  2.850706e+01    6.525076e+00
  2.854952e+01    6.519668e+00
  2.859197e+01    6.517151e+00
  2.863442e+01    6.530642e+00
  2.867687e+01    6.529517e+00
  2.871933e+01    6.547729e+00
  2.876178e+01    6.537802e+00
  2.880423e+01    6.548564e+00
  2.884668e+01    6.537091e+00
  2.888914e+01    6.523051e+00
  2.893159e+01    6.514149e+00
  2.897404e+01    6.524339e+00
  2.901649e+01    6.518108e+00
  2.905895e+01    6.532950e+00
  2.910140e+01    6.503595e+00
  2.914385e+01    6.528187e+00
  2.918631e+01    6.508125e+00
  2.922876e+01    6.514538e+00
  2.927121e+01    6.502849e+00
  2.931366e+01    6.495754e+00
  2.935612e+01    6.500329e+00
  2.939857e+01    6.494438e+00
  2.944102e+01    6.495531e+00
  2.948347e+01    6.483954e+00
  2.952593e+01    6.477157e+00
  2.956838e+01    6.472101e+00
  2.961083e+01    6.482839e+00
  2.965328e+01    6.454794e+00
  2.969574e+01    6.466106e+00
  2.973819e+01    6.426431e+00
  2.978064e+01    6.457220e+00
  2.982309e+01    6.431689e+00
  2.986555e+01    6.436700e+00
  2.990800e+01    6.417801e+00
  2.995045e+01    6.414698e+00
  2.999290e+01    6.417114e+00
  3.003536e+01    6.404809e+00
  3.007781e+01    6.403270e+00
  3.012026e+01    6.376772e+00
  3.016272e+01    6.376605e+00
