# == pyFAI calibration ==
# Distance Sample to Detector: 0.16467985556231649 m
# PONI: 9.242e-02, 8.817e-02 m
# Rotations: 0.000148 0.000104 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 164.680 mm
# Center: x=1175.307, y=1232.557 pix
# Tilt: 0.010 deg  TiltPlanRot: 144.812 deg
# 
# Detector Eiger 4M	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 9.537246033323096e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /gpfs/easy/data/visitor/ihsc1713/id13/XXPROCESS/Cfluct_empty_avg.dat
#       q_nm^-1             I 
  1.797881e+01    4.509758e+00
  1.802126e+01    4.509990e+00
  1.806372e+01    4.502772e+00
  1.810617e+01    4.499632e+00
  1.814862e+01    4.494716e+00
  1.819108e+01    4.485950e+00
  1.823353e+01    4.478243e+00
  1.827598e+01    4.465535e+00
  1.831843e+01    4.455241e+00
  1.836089e+01    4.519851e+00
  1.840334e+01    4.420362e+00
  1.844579e+01    4.396919e+00
  1.848824e+01    4.378086e+00
  1.853070e+01    4.353479e+00
  1.857315e+01    4.330455e+00
  1.861560e+01    4.306576e+00
  1.865805e+01    4.277836e+00
  1.870051e+01    4.254831e+00
  1.874296e+01    4.225337e+00
  1.878541e+01    4.196719e+00
  1.882786e+01    4.163670e+00
  1.887032e+01    4.140985e+00
  1.891277e+01    4.108128e+00
  1.895522e+01    4.077933e+00
  1.899768e+01    4.044370e+00
  1.904013e+01    4.014487e+00
  1.908258e+01    3.989516e+00
  1.912503e+01    3.959056e+00
  1.916749e+01    3.934811e+00
  1.920994e+01    3.905471e+00
  1.925239e+01    3.877325e+00
  1.929484e+01    3.850516e+00
  1.933730e+01    3.825976e+00
  1.937975e+01    3.799827e+00
  1.942220e+01    3.769731e+00
  1.946465e+01    3.751167e+00
  1.950711e+01    3.716553e+00
  1.954956e+01    3.694071e+00
  1.959201e+01    3.656078e+00
  1.963446e+01    3.636318e+00
  1.967692e+01    3.605292e+00
  1.971937e+01    3.572324e+00
  1.976182e+01    3.541739e+00
  1.980427e+01    3.500529e+00
  1.984673e+01    3.469935e+00
  1.988918e+01    3.429958e+00
  1.993163e+01    3.402806e+00
  1.997409e+01    3.363306e+00
  2.001654e+01    3.333675e+00
  2.005899e+01    3.304056e+00
  2.010144e+01    3.265756e+00
  2.014390e+01    3.238754e+00
  2.018635e+01    3.205174e+00
  2.022880e+01    3.180967e+00
  2.027125e+01    3.149518e+00
  2.031371e+01    3.117432e+00
  2.035616e+01    3.085310e+00
  2.039861e+01    3.054668e+00
  2.044106e+01    3.032855e+00
  2.048352e+01    2.994897e+00
  2.052597e+01    2.970553e+00
  2.056842e+01    2.939927e+00
  2.061087e+01    2.914773e+00
  2.065333e+01    2.889132e+00
  2.069578e+01    2.861175e+00
  2.073823e+01    2.837801e+00
  2.078069e+01    2.834488e+00
  2.082314e+01    2.811706e+00
  2.086559e+01    2.798032e+00
  2.090804e+01    2.780037e+00
  2.095050e+01    2.767368e+00
  2.099295e+01    2.747082e+00
  2.103540e+01    2.730676e+00
  2.107785e+01    2.721276e+00
  2.112031e+01    2.699023e+00
  2.116276e+01    2.690804e+00
  2.120521e+01    2.672892e+00
  2.124766e+01    2.656733e+00
  2.129012e+01    2.651058e+00
  2.133257e+01    2.634420e+00
  2.137502e+01    2.629363e+00
  2.141747e+01    2.614562e+00
  2.145993e+01    2.603993e+00
  2.150238e+01    2.594760e+00
  2.154483e+01    2.572818e+00
  2.158729e+01    2.562569e+00
  2.162974e+01    2.539929e+00
  2.167219e+01    2.521731e+00
  2.171464e+01    2.504254e+00
  2.175710e+01    2.482578e+00
  2.179955e+01    2.463940e+00
  2.184200e+01    2.436120e+00
  2.188445e+01    2.419861e+00
  2.192691e+01    2.401510e+00
  2.196936e+01    2.374513e+00
  2.201181e+01    2.359430e+00
  2.205426e+01    2.332376e+00
  2.209672e+01    2.315876e+00
  2.213917e+01    2.296706e+00
  2.218162e+01    2.277055e+00
  2.222407e+01    2.262262e+00
  2.226653e+01    2.242623e+00
  2.230898e+01    2.224524e+00
  2.235143e+01    2.210960e+00
  2.239389e+01    2.194377e+00
  2.243634e+01    2.179171e+00
  2.247879e+01    2.165984e+00
  2.252124e+01    2.150977e+00
  2.256370e+01    2.139823e+00
  2.260615e+01    2.122598e+00
  2.264860e+01    2.111180e+00
  2.269105e+01    2.099950e+00
  2.273351e+01    2.084031e+00
  2.277596e+01    2.074059e+00
  2.281841e+01    2.062284e+00
  2.286086e+01    2.046460e+00
  2.290332e+01    2.035596e+00
  2.294577e+01    2.019067e+00
  2.298822e+01    2.006883e+00
  2.303067e+01    1.993397e+00
  2.307313e+01    1.975443e+00
  2.311558e+01    1.965967e+00
  2.315803e+01    1.952199e+00
  2.320048e+01    1.937793e+00
  2.324294e+01    1.932997e+00
  2.328539e+01    1.915877e+00
  2.332784e+01    1.905974e+00
  2.337030e+01    1.899115e+00
  2.341275e+01    1.880491e+00
  2.345520e+01    1.871359e+00
  2.349765e+01    1.860498e+00
  2.354011e+01    1.843194e+00
  2.358256e+01    1.829538e+00
  2.362501e+01    1.824539e+00
  2.366746e+01    1.808258e+00
  2.370992e+01    1.798958e+00
  2.375237e+01    1.792103e+00
  2.379482e+01    1.787061e+00
  2.383727e+01    1.784281e+00
  2.387973e+01    1.769576e+00
  2.392218e+01    1.747925e+00
  2.396463e+01    1.736061e+00
  2.400708e+01    1.723376e+00
  2.404954e+01    1.715548e+00
  2.409199e+01    1.706332e+00
  2.413444e+01    1.695490e+00
  2.417690e+01    1.687696e+00
  2.421935e+01    1.681736e+00
  2.426180e+01    1.672105e+00
  2.430425e+01    1.663773e+00
  2.434671e+01    1.658705e+00
  2.438916e+01    1.651134e+00
  2.443161e+01    1.642672e+00
  2.447406e+01    1.640316e+00
  2.451652e+01    1.632921e+00
  2.455897e+01    1.625496e+00
  2.460142e+01    1.623765e+00
  2.464387e+01    1.617029e+00
  2.468633e+01    1.610292e+00
  2.472878e+01    1.608320e+00
  2.477123e+01    1.602036e+00
  2.481368e+01    1.594749e+00
  2.485614e+01    1.594345e+00
  2.489859e+01    1.586515e+00
  2.494104e+01    1.580184e+00
  2.498350e+01    1.579011e+00
  2.502595e+01    1.571847e+00
  2.506840e+01    1.566448e+00
  2.511085e+01    1.563836e+00
  2.515331e+01    1.554312e+00
  2.519576e+01    1.550613e+00
  2.523821e+01    1.548638e+00
  2.528066e+01    1.541031e+00
  2.532312e+01    1.532815e+00
  2.536557e+01    1.533328e+00
  2.540802e+01    1.530968e+00
  2.545047e+01    1.527857e+00
  2.549293e+01    1.522998e+00
  2.553538e+01    1.519355e+00
  2.557783e+01    1.515056e+00
  2.562028e+01    1.512476e+00
  2.566274e+01    1.510300e+00
  2.570519e+01    1.504977e+00
  2.574764e+01    1.498514e+00
  2.579010e+01    1.498249e+00
  2.583255e+01    1.491608e+00
  2.587500e+01    1.487495e+00
  2.591745e+01    1.486006e+00
  2.595991e+01    1.481595e+00
  2.600236e+01    1.479418e+00
  2.604481e+01    1.476826e+00
  2.608726e+01    1.471673e+00
  2.612972e+01    1.469367e+00
  2.617217e+01    1.465077e+00
  2.621462e+01    1.463945e+00
  2.625707e+01    1.463076e+00
  2.629953e+01    1.459183e+00
  2.634198e+01    1.467482e+00
  2.638443e+01    1.478959e+00
  2.642688e+01    1.486876e+00
  2.646934e+01    1.491479e+00
  2.651179e+01    1.495120e+00
  2.655424e+01    1.498033e+00
  2.659669e+01    1.499299e+00
  2.663915e+01    1.499251e+00
  2.668160e+01    1.505210e+00
  2.672405e+01    1.504872e+00
  2.676651e+01    1.509740e+00
  2.680896e+01    1.510628e+00
  2.685141e+01    1.506763e+00
  2.689386e+01    1.505562e+00
  2.693632e+01    1.505543e+00
  2.697877e+01    1.506093e+00
  2.702122e+01    1.503529e+00
  2.706367e+01    1.500701e+00
  2.710613e+01    1.503357e+00
  2.714858e+01    1.499410e+00
  2.719103e+01    1.498168e+00
  2.723348e+01    1.493842e+00
  2.727594e+01    1.493070e+00
  2.731839e+01    1.492157e+00
  2.736084e+01    1.488247e+00
  2.740329e+01    1.489563e+00
  2.744575e+01    1.487752e+00
  2.748820e+01    1.485551e+00
  2.753065e+01    1.481636e+00
  2.757311e+01    1.483011e+00
  2.761556e+01    1.480075e+00
  2.765801e+01    1.480722e+00
  2.770046e+01    1.478520e+00
  2.774292e+01    1.478619e+00
  2.778537e+01    1.476440e+00
  2.782782e+01    1.478279e+00
  2.787027e+01    1.475377e+00
  2.791273e+01    1.474286e+00
